Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
no,"Not about mimicry (rather, about masquerade, model is bird feather)",,,,,,,,,,,Brotulotaenia (Teleostei : Ophidiiformes) larval development revisited: An apparently new type of mimetic resemblance in the epipelagic ocean,"Suntsov, Andrey V.",,,,RAFFLES BULLETIN OF ZOOLOGY,JAN 31 2007,2007,,,,14,,177,186,,,7th Indo-Pacific Fish Conference,"MAY 16-21, 2005",2,0.18
no,Review,,,,,,,,,,,Aposematic (Warning) Coloration in Plants,"Lev-Yadun, Simcha",,,"Baluska, F",PLANT-ENVIRONMENT INTERACTIONS: FROM SENSORY PLANT BIOLOGY TO ACTIVE PLANT BEHAVIOR,2009,2009,,,,,,167,202,,10.1007/978-3-540-89230-4_10,,,28,3.11
yes,,,yes,Stenomorpha marginata,Coleoptera,Insecta,Eleodes obscura,Coleoptera,Insecta,Family (Tenebrionidae),Predator,PREDATION PRESSURE ON AN IMPERFECT BATESIAN MIMICRY COMPLEX IN THE PRESENCE OF ALTERNATIVE PREY,"HETZ, M; SLOBODCHIKOFF, CN",,,,OECOLOGIA,1988,1988,76,4,,,,570,573,,,,,21,0.7
no,Not about mimicry,,,Butterfly,,,Butterfly,,,,Predator,"Genetics of mimicry in the tiger swallowtail butterflies, Papilio glaucus and P-canadensis (lepidoptera: Papilionidae)","Scriber, JM; Hagen, RH; Lederhouse, RC",,,,EVOLUTION,Feb-96,1996,50,1,,,,222,236,,10.2307/2410795,,,42,1.91
yes,,,,Dicrurus adsimilis,Passeriformes,Aves,"Dicrurus adsimilis, Lamprotornis nitens, Vanellus coronatus, Turdoides bicolor","Charadriiformes, Passeriformes",Aves,Class (Aves),"Competitor/bird,mammal",Fork-tailed drongos use deceptive mimicked alarm calls to steal food,"Flower, Tom",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,MAY 22 2011,2011,278,1711,,,,1548,1555,,10.1098/rspb.2010.1932,,,40,5.71
yes,,,,Hypolimnas misippus,Lepidoptera,Insecta,Danaus chrysippus,Lepidoptera,Insecta,Family (Nymphalidae),Predator,Linkage disequilibrium and natural selection for mimicry in the Batesian mimic Hypolimnas misippus (L.) (Lepidoptera: Nymphalidae) in the Afrotropics,"Gordon, Ian J.; Edmunds, Malcolm; Edgar, John A.; Lawrence, James; Smith, David A. S.",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,May-10,2010,100,1,,,,180,194,,,,,5,0.62
no,Editorial,,,,,,,,,,,"Mimicry: Ecology, evolution, and development","Pfennig, David",,,,CURRENT ZOOLOGY,2012,2012,58,4,,,,604,607,,,,,5,0.83
yes,,,,Artificial flower,Artificial,Artificial,Artificial flower,Artificial,Artificial,Artificial,Pollinator/bumblebee,Peak shift discrimination learning as a mechanism of signal evolution,"Lynn, SK; Cnaani, J; Papaj, DR",,,,EVOLUTION,Jun-05,2005,59,6,,,,1300,1305,,,,,76,5.85
yes,,,,Heliconius,Lepidoptera,Insecta,Heliconius,Lepidoptera,Insecta,Genus (Heliconius),Predator,Locomotor mimicry in Heliconius butterflies: contrast analyses of flight morphology and kinematics,"Srygley, RB",,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES,JAN 29 1999,1999,354,1380,,,,203,214,,10.1098/rstb.1999.0372,,,40,2.11
no,Can't locate article,,,,,,,,,,,Aspectos mimeticos de algunos Riodinidos colombianos (Lepidoptera: Riodinidae).. [Mimetic aspects of some Colombian riodinids (Lepidoptera: Riodinidae).],"Salazar E., Julian A.",,,,Lambillionea,Septembre 2003,2003,103,3,,(Tome II),,479,484,,,,,1,0.07
