"catalogNumber","type","order","scientificName","scientificNameAuthorship","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","locationRemarks","time","day","month","year","bodylength","accuracy","maximum.speed.bodylength","mean.speed.bodylength","speed.CV","moving.duration.mean","moving.duration.CV","stopped.duration.mean","stopped.duration.CV","proportion.time.moving","straightness","sinuosity","E.max","first.minimum.C","first.minimum.delta.s"
791,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7727277777778,151.113786111111,65,63.09768638,"MQ campus, Sydney, NSW","15:16",26,5,2017,4,-2.61830211399336,10.3408622176602,6.67265106426886,0.339120651287978,3.58,0.748900920133601,0.125,0.335548197123144,0.957219251336898,0.943212031487002,0.135708360957451,477156.647242001,0.902700937332532,4.5
798,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-27.4979888888889,152.913758333333,5,15.16742081,"Rafting Ground Rd, Brisbane, Qld","16:32",17,6,2017,5.5,-3.02778280552674,7.77054264803462,4.32866812685431,0.369838221856185,2.94444444444445,1.85080548790957,2.34666666666667,1.37738687458271,0.600226500566252,0.965381776607819,0.34677262099989,245.549082698579,0.916964266439911,3
798,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-27.4979888888889,152.913758333333,5,15.16742081,"Rafting Ground Rd, Brisbane, Qld","16:32",17,6,2017,5.5,-3.09838617540073,8.20472337060299,5.55889992072151,0.236637922098671,8.28333333333333,1.3857585611181,0.466666666666665,0,0.968810916179337,0.983353408828571,0.104632908525329,5174258.65785767,0.974166487967349,9.8
811,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-27.3986222222222,152.618119444444,5,60.78912467,"Wivenhoe Dam, Qld","16:25",18,6,2017,6.8,-3.65542713228879,8.03257227669213,3.99801342660701,0.540415038031032,1.13555555555556,2.78642996863651,0.471428571428571,0.700983901935253,0.720733427362483,0.970341698164429,0.464235286607563,97155.7222087296,0.923477619402737,3.2
838,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.8018222222222,151.137388888889,10,48.61285008,"North Ryde Oval, NSW","14:34",25,6,2017,5.2,-2.12956405313383,12.1201208200268,9.38638181825224,0.166870320243083,9.4399412922379,0,0,0,1,0.985997261074781,0.064361216738127,1033.56109939405,0.962867858167629,5.5
863,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-23.8978833333333,151.262186111111,500,27.21582031,"Toondon Botanic Gardens, Gladstone, Qld","14:13",22,6,2017,3.6,-2.18020696330434,13.2254152593368,7.70447388890969,0.395515085353743,1.56666666666667,0.39393316803517,0.0800000000000002,0.63190628700429,0.915584415584415,0.879743040918521,1.69300646917417,7792.2647578323,0.729405814928213,5.4
946,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-27.5428694444444,151.980238888889,10,624.6467066,"Mount Lofty, Toowoomba, Qld","10:27",19,6,2017,3.4,-2.11928580689705,6.51421578739551,3.81732619333094,0.269484985241113,0.875142857142857,0.531883296196103,0.263478260869565,1.10499784538616,0.770759939607449,0.836777892906149,0.46200124036818,658425.901903743,0.62104152053412,22.8
947,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-27.5428694444444,151.980238888889,10,624.6467066,"Mount Lofty, Toowoomba, Qld","10:27",19,6,2017,5.5,-2.82011959669308,12.5265307375154,7.64074817936067,0.422315264074218,2.93333333333333,1.71418988729282,0.477777777777778,0.494972015204481,0.873449131513648,0.922455842136667,0.475101443471606,1548691.49675196,0.850534613495508,4.8
947,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-27.5428694444444,151.980238888889,10,624.6467066,"Mount Lofty, Toowoomba, Qld","10:27",19,6,2017,5.5,-2.43638263349498,14.2371930204901,3.63627827032842,0.522597414833877,1.57130434782609,0.863545322967445,0.194545454545455,0.637826625531913,0.894111825828798,0.872342952340943,0.873859916352677,22531.2488537833,0.783131710760407,3.3
949,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-27.5428583333333,151.980072222222,5,620.8688525,"Mount Lofty, Toowoomba, Qld","10:33",19,6,2017,5,-3.19140685597868,8.49800080991708,3.19542912097508,0.313597368682966,0.857971014492754,0.791671312123543,0.0925925925925922,0.632398033462534,0.89291101055807,0.873435793630979,0.238850241687765,772.158181430507,0.844774505656702,28.3
859,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-23.3841,150.527663888889,10,7.892028254,"The Common, Rockhampton, Qld","10:07",22,6,2017,4.9,-1.94331086182213,9.5042184734242,5.13580465922886,0.337577354197053,11.2366324033284,1.05331633280607,0.0666862457170829,0,0.994100294985251,0.92459669202332,0.423301294015295,1090066.81580615,0.851174123879233,5
866,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,5.6,-2.7382978905934,27.8417483838396,13.4469336996198,0.466668961074157,2.45555555555556,1.13900489878499,0.05,0.471404520791036,0.986607142857143,0.949440250964864,0.0769968788558857,30881.7222891857,0.928160777836522,6.1
932,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-23.3988138888889,150.50505,10,3.485229415,"Curtis Park, Rockhampton, Qld","09:41",21,6,2017,3,-2.57161957949874,7.64503594184868,4.09153512089171,0.330594582600412,0.851633986928105,0.607084011646638,0.198,0.561360739900331,0.813866333541537,0.889169948368228,0.25122009970181,339134.881221998,0.742847950892922,15.6
962,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-33.7716472222222,151.115127777778,5,44.765625,"MQ campus, Sydney, NSW","11:06",25,7,2017,4.3,-2.2636516275265,8.22549256678783,3.54885846095241,0.48017189165191,0.723888888888889,1.78876933322536,0.946327683615819,2.07467550308254,0.437541974479516,0.713343954112322,0.688760127085463,982121.883588129,0.551307083139983,12.8
863,"mimetic spider","Araneae","Myrmarachne erythrocephala","(Koch, 1879)",-23.8978833333333,151.262186111111,500,27.21582031,"Toondon Botanic Gardens, Gladstone, Qld","14:13",22,6,2017,3.6,-1.77205331928013,14.1927291351035,7.34092968763409,0.362405965915415,1.4047619047619,0.901323146672473,0.111111111111111,0.309838667696593,0.862573099415205,0.785665166267266,0.245179408594736,243.152280832693,0.670223963494564,6.5
944,"mimetic spider","Araneae","Myrmarachne juvenile","",-27.5428694444444,151.980238888889,10,624.6467066,"Mount Lofty, Toowoomba, Qld","10:27",19,6,2017,2.8,-2.90246388946838,7.44335432486128,4.00399758639688,0.288868430893939,0.587572815533981,0.449075304254017,0.210588235294117,0.620648432340228,0.737868812484761,0.905510170061847,0.492145376731404,41115.5800466427,0.833279441254331,10.8
953,"mimetic spider","Araneae","Myrmarachne juvenile","",-33.7703111111111,151.112180555556,20,50,"MQ campus, Sydney, NSW","15:00",24,7,2017,4.3,-1.04130871634089,4.39078952685498,2.18279750670666,0.310773103486605,2.89242424242424,1.33749212468087,5.66190476190476,2.8521422611445,0.348612125639153,0.717292548842006,0.291099009709743,120844.585087762,0.236528613714164,50.8
786,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-33.7735055555556,151.113952777778,295,63.20949721,"MQ campus, Sydney, NSW","14:53",26,5,2017,5.7,-2.28174801416436,9.91368756017727,4.85787347071904,0.485002382904478,3.67333333333333,0.923215880227057,0.066666666666666,0.408248290463876,0.985688729874777,0.87838086200476,0.366533041839565,80029.4321477994,0.781539148686095,6.2
850,"mimetic spider","Araneae","Myrmarachne luctuosa","(L. Koch, 1879)",-23.8984472222222,151.261830555556,500,28.43560606,"Toondon Botanic Gardens, Gladstone, Qld","14:33",22,6,2017,6.5,-2.54389241092099,9.01098060637131,4.98733755938937,0.384672179058353,3.46,1.41643726535138,0.191666666666666,0.656507342197459,0.957564575645756,0.942836265255446,0.534899831437296,7022.29166247739,0.875041348551743,4.5
902,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-23.3994472222222,150.504913888889,5,13.82537835,"Curtis Park, Rockhampton, Qld","08:19",21,6,2017,6.1,-2.05036476051013,10.4933471724963,6.4117455326481,0.307941666280896,12.0666666666667,0,0,0,1,0.976056477275149,0.0864669434964861,22679.6043508339,0.941071240059381,3.4
914,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-23.3994472222222,150.504913888889,5,13.82537835,"Curtis Park, Rockhampton, Qld","08:19",21,6,2017,3.5,-1.57225427208012,7.55201170461374,3.87971708305286,0.300943307862569,3.73333333333333,1.17936255914726,0.88,1.34955789032438,0.823529411764706,0.899263469903365,0.400367229729973,112128.237305443,0.708700906565539,3.9
942,"mimetic spider","Araneae","Myrmarachne macleayana","(Bradley, 1876)",-23.3994472222222,150.504913888889,5,13.82537835,"Curtis Park, Rockhampton, Qld","08:19",21,6,2017,3.7,0.0886916361023843,10.108029720462,4.37762026868307,0.410592884353322,2.24861111111111,1.46772542425004,0.318840579710144,1.76206424349309,0.88036976617727,0.327026049669537,0.450872779106273,1515.29861481738,0.363649541295379,6.5
841,"mimetic spider","Araneae","Rhombonotus gracilis","(Koch L., 1879)",-23.8967888888889,151.262405555556,100,33.16937355,"Toondon Botanic Gardens, Gladstone, Qld","15:18",22,6,2017,3.3,-2.14871724960792,3.37696311358136,2.4850854416373,0.173982160467706,4.07,1.04000169731399,0.670370370370369,0.77449617629543,0.870277975766215,0.947559294238251,0.208695549124425,1313.93318206377,0.881675459265185,2.6
